City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
328,flin flon,54.7682,-101.865,61.21,90,95,7.25,CA,1718505940
329,arraial do cabo,-22.9661,-42.0278,71.24,87,1,18.97,BR,1718505940
330,san andres,12.5847,-81.7006,80.62,89,20,4.61,CO,1718505940
331,arteche,12.2645,125.4048,86.34,73,95,5.21,PH,1718505941
332,pangkalanbuun,-2.6833,111.6167,88.75,59,45,4.36,ID,1718505941
333,rio preto da eva,-2.6994,-59.6997,74.55,94,81,3.33,BR,1718505941
334,coronel dorrego,-38.7187,-61.2873,50.49,55,0,10.83,AR,1718505941
335,holmsund,63.706,20.3641,54.95,100,0,2.3,SE,1718505941
336,sandnessjoen,66.0217,12.6316,46.92,69,1,13.02,NO,1718505941
337,strathalbyn,-35.2667,138.9,61.29,99,1,6.2,AU,1718505942
338,makushino,55.2103,67.2442,75.88,72,100,7.67,RU,1718505942
339,salinas,36.6777,-121.6555,67.96,75,0,18.41,US,1718505827
340,sao joaquim,-28.2939,-49.9317,55.72,97,100,2.84,BR,1718505942
341,las vegas,36.175,-115.1372,103.44,6,0,18.41,US,1718505651
342,evergreen,39.6333,-105.3172,75.99,35,31,8.01,US,1718505942
343,bandarbeyla,9.4942,50.8122,79.39,71,84,18.9,SO,1718505943
344,yeroham,30.9872,34.9314,73.09,62,0,4.41,IL,1718505943
345,katabu,-4.9333,122.5167,79.97,82,100,5.08,ID,1718505943
346,klaksvik,62.2266,-6.589,47.32,88,100,21.25,FO,1718505943
347,ebon,4.582,168.6964,83.73,74,88,9.8,MH,1718505943
348,ta`u,-14.2336,-169.5144,82.04,78,94,19.28,AS,1718505943
349,tual,-5.6667,132.75,79.05,75,88,20.09,ID,1718505944
350,zhob,31.3411,69.4481,86.45,25,8,5.93,PK,1718505944
351,igarka,67.4667,86.5833,49.01,73,54,7.0,RU,1718505944
352,lazaro cardenas,17.9583,-102.2,81.64,86,15,4.88,MX,1718505944
353,burkardroth,50.2667,10.0,52.9,79,84,2.46,DE,1718505944
354,yeppoon,-23.1333,150.7333,75.25,36,0,8.46,AU,1718505944
355,grand falls-windsor,48.9332,-55.6649,57.51,93,100,6.22,CA,1718505896
356,vacaria,-28.5122,-50.9339,59.81,95,100,5.06,BR,1718505945
357,zhizdra,53.746,34.7395,59.23,95,100,6.29,RU,1718505945
358,imeni morozova,59.9757,31.0376,55.94,70,38,1.92,RU,1718505945
359,noumea,-22.2763,166.4572,78.78,99,0,16.15,NC,1718505945
360,abepura,-2.6333,140.5833,85.01,74,20,6.91,ID,1718505945
361,kuta,-8.7233,115.1723,82.35,83,40,5.99,ID,1718505946
